Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Zador, A., Escola, S., Richards, B., Ölveczky, B., Bengio, Y., Boahen, K., Botvinick, M., Chklovskii, D., Churchland, A., Clopath, C., DiCarlo, J., Ganguli, S., Hawkins, J., Körding, K., Koulakov, A., LeCun, Y., Lillicrap, T., Marblestone, A., Olshausen, B., Pouget, A., Savin, C., Sejnowski, T., Simoncelli, E., Solla, S., Sussillo, D., Tolias, A.S., Tsao, D.","7004503632; 31667501400; 14626760300; 6603140681; 7003958245; 7003399937; 6602977616; 6701366975; 6506370880; 16241056400; 7006387907; 8422780800; 15022121900; 6603812799; 6603963214; 55666793600; 6503977179; 26645104000; 7003724920; 7003872698; 23390374100; 35595178300; 7004044833; 6601975744; 15124247000; 57207588001; 7005078784","Catalyzing next-generation Artificial Intelligence through NeuroAI",2023,"Nature Communications",14,"1", 1597,,,,4,10.1038/s41467-023-37180-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85150767434&partnerID=40&md5=01b7a9cb5b9ca54cc0548ed77d771852",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85150767434
"Zhou, Y., Yu, Z., Chebotarov, D., Chougule, K., Lu, Z., Rivera, L.F., Kathiresan, N., Al-Bader, N., Mohammed, N., Alsantely, A., Mussurova, S., Santos, J., Thimma, M., Troukhan, M., Fornasiero, A., Green, C.D., Copetti, D., Kudrna, D., Llaca, V., Lorieux, M., Zuccolo, A., Ware, D., McNally, K., Zhang, J., Wing, R.A.","57213434245; 57222813449; 36551998300; 57190347248; 55553651200; 57198072313; 57219153503; 57200333416; 57216332900; 57838344100; 57204597639; 57208711453; 12243081100; 6506719589; 56900998400; 57838154900; 35409052200; 57213296178; 6602675617; 6602469769; 11339149800; 57206369615; 7005769581; 53364835200; 7103122467","Pan-genome inversion index reveals evolutionary insights into the subpopulation structure of Asian rice",2023,"Nature Communications",14,"1", 1567,,,,2,10.1038/s41467-023-37004-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85150669133&partnerID=40&md5=527fe5870ff53d7665d9d53be617d5de",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85150669133
"Roach, J.P., Churchland, A.K., Engel, T.A.","56816475900; 6506370880; 25824879700","Choice selective inhibition drives stability and competition in decision circuits",2023,"Nature Communications",14,"1", 147,,,,2,10.1038/s41467-023-35822-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85146102268&partnerID=40&md5=4f29a2ef0442b3aa011941077add4c10",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85146102268
"Lei, P.-J., Pereira, E.R., Andersson, P., Amoozgar, Z., Van Wijnbergen, J.W., O'Melia, M.J., Zhou, H., Chatterjee, S., Ho, W.W., Posada, J.M., Kumar, A.S., Morita, S., Menzel, L., Chung, C., Ergin, I., Jones, D., Huang, P., Beyaz, S., Padera, T.P.","57222738529; 56508953200; 36987295100; 6505953084; 57226148005; 57189729102; 57222739045; 36703787200; 57191591122; 56082185200; 57205693388; 57947497100; 57130556800; 57221340055; 57216483253; 7406578598; 7403659351; 48061020300; 6603375240","Cancer cell plasticity and MHC-II-mediated immune tolerance promote breast cancer metastasis to lymph nodes",2023,"The Journal of experimental medicine",220,"9",,,,,,10.1084/jem.20221847,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85163107953&partnerID=40&md5=904dcdf7d917a8a3e03029931ffaf1d2",Article,Final,"",Scopus,2-s2.0-85163107953
"Buchanan, J., da Costa, N.M., Cheadle, L.","7202798256; 26427585100; 36774207400","Emerging roles of oligodendrocyte precursor cells in neural circuit development and remodeling",2023,"Trends in Neurosciences",46,"8",,628,639,,,10.1016/j.tins.2023.05.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85160844084&partnerID=40&md5=4f2415f4d208a27fcc3a971cd9a48e2c",Review,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85160844084
"Tenenbaum, D., Inlow, K., Friedman, L.J., Cai, A., Gelles, J., Kondev, J.","58177466000; 57221323828; 36854870400; 58176833500; 7003919851; 6701309620","RNA polymerase sliding on DNA can couple the transcription of nearby bacterial operons",2023,"Proceedings of the National Academy of Sciences of the United States of America",120,"30",,,,e2301402120,,10.1073/pnas.2301402120,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85165105788&partnerID=40&md5=7c3a213aba3769d9acfdb307772e93ed",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85165105788
"Corona, A., Choe, J., Muñoz-Castañeda, R., Osten, P., Shea, S.D.","57266362800; 58071874600; 57760576500; 6603963558; 7101777058","A circuit from the locus coeruleus to the anterior cingulate cortex modulates offspring interactions in mice",2023,"Cell Reports",42,"7", 112771,,,,,10.1016/j.celrep.2023.112771,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85164321507&partnerID=40&md5=dda867bf8b7c03008d061a802be54ca0",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85164321507
"Smedley, C.J., Giel, M.-C., Fallon, T., Moses, J.E.","56592950300; 57195148752; 35423903300; 7202080859","Ethene-1,1-disulfonyl Difluoride (EDSF) for SuFEx Click Chemistry: Synthesis of SuFExable 1,1-Bissulfonylfluoride Substituted Cyclobutene Hubs",2023,"Angewandte Chemie - International Edition",62,"30", e202303916,,,,,10.1002/anie.202303916,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85161931117&partnerID=40&md5=38358843ad8d3d12318c8e9d7f56d1b0",Article,Final,"",Scopus,2-s2.0-85161931117
"Ferrer, M., Mourikis, N., Davidson, E.E., Kleeman, S.O., Zaccaria, M., Habel, J., Rubino, R., Gao, Q., Flint, T.R., Young, L., Connell, C.M., Lukey, M.J., Goncalves, M.D., White, E.P., Venkitaraman, A.R., Janowitz, T.","57202288661; 57449747800; 58182319700; 57203638956; 58182319800; 57266133100; 57266592600; 57219823819; 57191907650; 58480312800; 55963312000; 35196435200; 30067648200; 57203337507; 35450019400; 55345325900","Ketogenic diet promotes tumor ferroptosis but induces relative corticosterone deficiency that accelerates cachexia",2023,"Cell Metabolism",35,"7",,1147,1162.e7,,,10.1016/j.cmet.2023.05.008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85164304503&partnerID=40&md5=1db949db9f5b31e7b2bda5dd642fea66",Article,Final,"",Scopus,2-s2.0-85164304503
"Costa, I.M., Effer, B., Costa-Silva, T.A., Chen, C., Ciccone, M.F., Pessoa, A., dos Santos, C.O., Monteiro, G.","54792651300; 55382422900; 36643475000; 57205767659; 57205764322; 7004373340; 10043589900; 7004053560","Cathepsin B Is Not an Intrinsic Factor Related to Asparaginase Resistance of the Acute Lymphoblastic Leukemia REH Cell Line",2023,"International Journal of Molecular Sciences",24,"13", 11215,,,,,10.3390/ijms241311215,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85164949340&partnerID=40&md5=916a0ac54e49a7a4beddfd725e9cf0f8",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85164949340
"Swentowsky, K.W., Robil, J.M.","57201430062; 57202997049","Timekeeper's dilemma: How photo-thermal cues alter flowering duration",2023,"Plant Physiology",192,"3",,2221,2223,,,10.1093/plphys/kiad240,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85164210378&partnerID=40&md5=ba4434f96818585a52e9981973199640",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85164210378
"Yoo, H.-B., Moon, J.W., Kim, H.-R., Lee, H.S., Miyabayashi, K., Park, C.H., Ge, S., Zhang, A., Tae, Y.K., Sub, Y., Park, H.-W., Gee, H.Y., Notta, F., Tuveson, D.A., Bang, S., Kim, M.-Y., Roe, J.-S.","57950099100; 57211800880; 57209846427; 56713997700; 58146317800; 57727349700; 58070491000; 57202382479; 58088487600; 58163880800; 55713482800; 55280029300; 34768770800; 6701721348; 8903116700; 57207943249; 13103569800","A TEAD2-Driven Endothelial-Like Program Shapes Basal-Like Differentiation and Metastasis of Pancreatic Cancer",2023,"Gastroenterology",165,"1",,133,148.e17,,,10.1053/j.gastro.2023.02.049,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85160034913&partnerID=40&md5=bc1bf4dd11577b3b65312bcf68dceb82",Article,Final,"",Scopus,2-s2.0-85160034913
"Cheadle, L.","36774207400","Neuron–glia communication through bona fide synapses",2023,"Nature Reviews Neuroscience",24,"7",,395,,,,10.1038/s41583-023-00702-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85158169408&partnerID=40&md5=5f98f52abf79ad2b9b0a74399de64292",Note,Final,"",Scopus,2-s2.0-85158169408
"Wroten, M., Yoon, S., Andrews, P., Yamrom, B., Ronemus, M., Buja, A., Krieger, A.M., Levy, D., Ye, K., Wigler, M., Iossifov, I.","57219619268; 57693095000; 57203229482; 56710252700; 8046193900; 6701535214; 7102388129; 57200906097; 57775611400; 7005241418; 6507060776","Sharing parental genomes by siblings concordant or discordant for autism",2023,"Cell Genomics",3,"6", 100319,,,,,10.1016/j.xgen.2023.100319,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85161815021&partnerID=40&md5=88e44d24c8938f937e9c0e6e1e0256fe",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85161815021
"Wang, G., Li, J., Bojmar, L., Chen, H., Li, Z., Tobias, G.C., Hu, M., Homan, E.A., Lucotti, S., Zhao, F., Posada, V., Oxley, P.R., Cioffi, M., Kim, H.S., Wang, H., Lauritzen, P., Boudreau, N., Shi, Z., Burd, C.E., Zippin, J.H., Lo, J.C., Pitt, G.S., Hernandez, J., Zambirinis, C.P., Hollingsworth, M.A., Grandgenett, P.M., Jain, M., Batra, S.K., DiMaio, D.J., Grem, J.L., Klute, K.A., Trippett, T.M., Egeblad, M., Paul, D., Bromberg, J., Kelsen, D., Rajasekhar, V.K., Healey, J.H., Matei, I.R., Jarnagin, W.R., Schwartz, R.E., Zhang, H., Lyden, D.","58289320700; 57189526303; 51863348200; 57113938600; 58288800800; 57211872451; 56435058800; 7003749529; 36989771300; 56183222900; 57731151200; 24830803600; 7006916759; 58366182100; 57200693087; 57218529909; 58289186500; 7403734340; 26433084300; 6602444080; 57210013789; 7005730952; 16202501800; 26041245300; 7102604437; 55674873000; 24483364500; 7202128851; 7005547444; 16144133200; 56453455200; 6603641441; 7004320104; 57211963678; 7103152598; 18836096900; 6602818545; 7202424167; 12787316100; 7006438229; 57203555733; 57192483048; 57206435018","Tumour extracellular vesicles and particles induce liver metabolic dysfunction",2023,"Nature",618,"7964",,374,382,,3,10.1038/s41586-023-06114-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85160220023&partnerID=40&md5=2e42f3e66ee821e20399b82952157ca0",Article,Final,"",Scopus,2-s2.0-85160220023
"Hawrylycz, M., Martone, M.E., Ascoli, G.A., Bjaalie, J.G., Dong, H.-W., Ghosh, S.S., Gillis, J., Hertzano, R., Haynor, D.R., Hof, P.R., Kim, Y., Lein, E., Liu, Y., Miller, J.A., Mitra, P.P., Mukamel, E., Ng, L., Osumi-Sutherland, D., Peng, H., Ray, P.L., Sanchez, R., Regev, A., Ropelewski, A., Scheuermann, R.H., Tan, S.Z.K., Thompson, C.L., Tickle, T., Tilgner, H., Varghese, M., Wester, B., White, O., Zeng, H., Aevermann, B., Allemang, D., Ament, S., Athey, T.L., Baker, C., Baker, K.S., Baker, P.M., Bandrowski, A., Banerjee, S., Bishwakarma, P., Carr, A., Chen, M., Choudhury, R., Cool, J., Creasy, H., D'Orazi, F., Degatano, K., Dichter, B., Ding, S.-L., Dolbeare, T., Ecker, J.R., Fang, R., Fillion-Robin, J.-C., Fliss, T.P., Gee, J., Gillespie, T., Gouwens, N., Zhang, G.-Q., Halchenko, Y.O., Harris, N.L., Herb, B.R., Hintiryan, H., Hood, G., Horvath, S., Huo, B., Jarecka, D., Jiang, S., Khajouei, F., Kiernan, E.A., Kir, H., Kruse, L., Lee, C., Lelieveldt, B., Li, Y., Liu, H., Liu, L., Markuhar, A., Mathews, J., Mathews, K.L., Mezias, C., Miller, M.I., Mollenkopf, T., Mufti, S., Mungall, C.J., Orvis, J., Puchades, M.A., Qu, L., Receveur, J.P., Ren, B., Sjoquist, N., Staats, Tward, D., van Velthoven, C.T.J., Wang, Q., Xie, F., Xu, H., Yao, Z., Yun, Z., Zhang, Y.R., Zheng, W.J., Zingg, B.","6603334595; 13605852600; 7003505100; 7004240123; 57193262418; 7404806211; 35578536500; 6507790490; 7005723263; 7102961274; 55699649400; 6602556774; 57222422182; 57209547835; 56775700000; 54788003700; 7201477822; 6506419854; 15061795400; 56516061700; 57205742196; 7006641761; 6602771439; 7006976175; 58477816100; 55455491400; 21835163000; 57189027669; 57200371209; 26538322000; 35611605400; 7401471902; 23569096100; 57222560563; 15047433600; 57212675199; 57997314000; 57219814083; 57913360000; 6507207789; 55702079100; 57997484800; 57224003709; 58477622500; 57854736900; 57210943345; 36093772900; 56166352300; 57222499726; 56993343800; 58477584500; 15764368900; 35420135600; 58477699200; 55279746000; 15765001900; 58477661300; 57205570927; 6504397587; 58477546000; 6503870081; 57188535624; 35331966800; 6505630036; 56876895400; 57203234511; 58477699300; 57997590800; 57214990029; 54782667700; 57721088400; 36706258500; 57997401200; 58383914100; 7003267462; 58477699400; 58477816600; 58477661400; 57997484700; 57201727389; 58477546100; 56668701500; 35425199300; 57219825574; 57997358100; 6602880619; 15760613300; 6602551686; 58477736400; 57201255739; 58477584600; 56154395300; 58484616800; 22036856100; 26436437900; 55566353800; 58477546200; 58477816700; 12243005600; 57285578000; 58477776400; 58477816800; 35093579700","A guide to the BRAIN Initiative Cell Census Network data ecosystem",2023,"PLoS Biology",21,"6", e3002133,,,,,10.1371/journal.pbio.3002133,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85164233059&partnerID=40&md5=0515f014be5f888045c038f36c76792c",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85164233059
"Simner, P.J., Bergman, Y., Fan, Y., Jacobs, E.B., Ramakrishnan, S., Lu, J., Lewis, S., Hanlon, A., Tamma, P.D., Schatz, M.C., Timp, W., Carroll, K.C.","36992558500; 57224671036; 57135715000; 57210560808; 58381990200; 57195214031; 57196003257; 56970877300; 15061898500; 7102406086; 16178363100; 57217697859","Multicentre genetic diversity study of carbapenem-resistant Enterobacterales: predominance of untypeable pUVA-like blaKPC bearing plasmids",2023,"JAC-Antimicrobial Resistance",5,"3", dlad061,,,,,10.1093/jacamr/dlad061,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85161021427&partnerID=40&md5=f41e6d13bbd0a7adbf3537bdbb78dd16",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85161021427
"Husbands, A.Y., Feller, A., Aggarwal, V., Dresden, C.E., Holub, A.S., Ha, T., Timmermans, M.C.P.","22985304900; 7101696339; 56336799200; 57343589400; 57219712742; 7203014287; 7003736011","The START domain potentiates HD-ZIPIII transcriptional activity",2023,"Plant Cell",35,"6",,2332,2348,,,10.1093/plcell/koad058,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85160871846&partnerID=40&md5=11cadad2176c2bae23acedfb5cfd34af",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85160871846
"Aakula, A., Isomursu, A., Rupp, C., Erickson, A., Gupta, N., Kauko, O., Shah, P., Padzik, A., Pokharel, Y.R., Kaur, A., Li, S.-P., Trotman, L., Taimen, P., Rannikko, A., Lammerding, J., Paatero, I., Mirtti, T., Ivaska, J., Westermarck, J.","35197870600; 57202245795; 56982682000; 57190658843; 58122752500; 23027958900; 57193539332; 13103535800; 12794294400; 57220992091; 7409242432; 6603486818; 6602212350; 6602870264; 6602624208; 17346824600; 6507566915; 7003849283; 6701723954","PP2A methylesterase PME-1 suppresses anoikis and is associated with therapy relapse of PTEN-deficient prostate cancers",2023,"Molecular Oncology",17,"6",,1007,1023,,,10.1002/1878-0261.13353,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85153206254&partnerID=40&md5=741bfde7103eb5869d1513ae86c3ca68",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85153206254
"Langdon, C., Genkin, M., Engel, T.A.","57464941800; 57194103087; 25824879700","A unifying perspective on neural manifolds and circuits for cognition",2023,"Nature Reviews Neuroscience",24,"6",,363,377,,1,10.1038/s41583-023-00693-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85152921286&partnerID=40&md5=67be5f992b3fc7f812f30ff3df35f27e",Article,Final,"",Scopus,2-s2.0-85152921286
"Mattick, J.S., Amaral, P.P., Carninci, P., Carpenter, S., Chang, H.Y., Chen, L.-L., Chen, R., Dean, C., Dinger, M.E., Fitzgerald, K.A., Gingeras, T.R., Guttman, M., Hirose, T., Huarte, M., Johnson, R., Kanduri, C., Kapranov, P., Lawrence, J.B., Lee, J.T., Mendell, J.T., Mercer, T.R., Moore, K.J., Nakagawa, S., Rinn, J.L., Spector, D.L., Ulitsky, I., Wan, Y., Wilusz, J.E., Wu, M.","7005637143; 56243319900; 57209053488; 57203069635; 57216999070; 57196310824; 8587708000; 16235942500; 15759402200; 35404765200; 58294894500; 9334609500; 7402601984; 13104204400; 7407016005; 6603955990; 57209054557; 35411933100; 35781962200; 7103163004; 23480364500; 7403339625; 7402703498; 6603278085; 35565902300; 8980428200; 36239587900; 10041688800; 7405595190","Long non-coding RNAs: definitions, functions, challenges and recommendations",2023,"Nature Reviews Molecular Cell Biology",24,"6",,430,447,,44,10.1038/s41580-022-00566-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85145508616&partnerID=40&md5=7faf00fda1fd781b7a90476d03ab0978",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85145508616
"Guillotin, B., Rahni, R., Passalacqua, M., Mohammed, M.A., Xu, X., Raju, S.K., Ramírez, C.O., Jackson, D., Groen, S.C., Gillis, J., Birnbaum, K.D.","56511958700; 57128447200; 57818616800; 57818570900; 56241965800; 57212465846; 57219811711; 7404288309; 39661013400; 35578536500; 7003932645","A pan-grass transcriptome reveals patterns of cellular divergence in crops",2023,"Nature",617,"7962",,785,791,,1,10.1038/s41586-023-06053-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85159133095&partnerID=40&md5=938fb640f7d1c651fc46dffcdab3aa90",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85159133095
"Haas, B.J., Dobin, A., Ghandi, M., Van Arsdale, A., Tickle, T., Robinson, J.T., Gillani, R., Kasif, S., Regev, A.","8894467100; 57211370910; 54412130000; 26536870100; 21835163000; 55883802500; 35072717400; 56777699600; 7006641761","Targeted in silico characterization of fusion transcripts in tumor and normal tissues via FusionInspector",2023,"Cell Reports Methods",3,"5", 100467,,,,,10.1016/j.crmeth.2023.100467,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85159609731&partnerID=40&md5=24f6273c98bef62604bf46800265f518",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85159609731
"Cano, A.V., Gitschlag, B.L., Rozhoňová, H., Stoltzfus, A., McCandlish, D.M., Payne, J.L.","57193773702; 56845625100; 57222340446; 6602153877; 37064920300; 12242389700","Mutation bias and the predictability of evolution",2023,"Philosophical Transactions of the Royal Society B: Biological Sciences",378,"1877", 20220055,,,,2,10.1098/rstb.2022.0055,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85151350381&partnerID=40&md5=1bcb9d2e0bacc1c8d2816907169afc62",Review,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85151350381
"Jbara, A., Lin, K.-T., Stossel, C., Siegfried, Z., Shqerat, H., Amar-Schwartz, A., Elyada, E., Mogilevsky, M., Raitses-Gurevich, M., Johnson, J.L., Yaron, T.M., Ovadia, O., Jang, G.H., Danan-Gotthold, M., Cantley, L.C., Levanon, E.Y., Gallinger, S., Krainer, A.R., Golan, T., Karni, R.","57218368509; 55466900500; 57194571460; 6602220188; 58153861000; 57194047858; 36987970000; 56092503300; 55642958500; 35110556400; 57205282750; 58153715500; 56105623700; 56688533100; 35394495300; 6602843144; 34975072000; 56744420600; 35975998300; 7003338718","RBFOX2 modulates a metastatic signature of alternative splicing in pancreatic cancer",2023,"Nature",617,"7959",,147,153,,,10.1038/s41586-023-05820-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85150740819&partnerID=40&md5=d2653f99014dd00d4256c6c9deb4268f",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85150740819
