eprintid	rev_number	eprint_status	userid	dir	datestamp	lastmod	status_changed	type	metadata_visibility	sword_depositor	title	ispublished	date	date_type	id_number	official_url	PMID	full_text_status	publication	pagerange	refereed	issn	Attribute:id	abstract	volume	number	pmcid	publisher
40774	6	archive	39	disk0/00/04/07/74	12/19/22 20:01	12/19/22 20:01	12/19/22 20:01	article	show	39	Testing for Phylogenetic Signal in Single-Cell RNA-Seq Data	pub	12/6/22	published	10.1089/cmb.2022.0357	https://www.ncbi.nlm.nih.gov/pubmed/36475926	36475926	none	Journal of Computational Biology		TRUE	1066-5277	https://repository.cshl.edu/id/eprint/40774	"Phylogenetic methods are emerging as a useful tool to understand cancer evolutionary dynamics, including tumor structure, heterogeneity, and progression. Most currently used approaches utilize either bulk whole genome sequencing or single-cell DNA sequencing and are based on calling copy number alterations and single nucleotide variants (SNVs). Single-cell RNA sequencing (scRNA-seq) is commonly applied to explore differential gene expression of cancer cells throughout tumor progression. The method exacerbates the single-cell sequencing problem of low yield per cell with uneven expression levels. This accounts for low and uneven sequencing coverage and makes SNV detection and phylogenetic analysis challenging. In this article, we demonstrate for the first time that scRNA-seq data contain sufficient evolutionary signal and can also be utilized in phylogenetic analyses. We explore and compare results of such analyses based on both expression levels and SNVs called from scRNA-seq data. Both techniques are shown to be useful for reconstructing phylogenetic relationships between cells, reflecting the clonal composition of a tumor. Both standardized expression values and SNVs appear to be equally capable of reconstructing a similar pattern of phylogenetic relationship. This pattern is stable even when phylogenetic uncertainty is taken in account. Our results open up a new direction of somatic phylogenetics based on scRNA-seq data. Further research is required to refine and improve these approaches to capture the full picture of somatic evolutionary dynamics in cancer."				
40772	7	archive	39	disk0/00/04/07/72	12/19/22 15:57	12/19/22 15:57	12/19/22 15:57	article	show	39	Single-cell analysis opens a goldmine for plant functional studies	pub	12/6/22	published	10.1016/j.copbio.2022.102858	https://www.ncbi.nlm.nih.gov/pubmed/36493588	36493588	none	Current Opinion in Biotechnology	102858	TRUE	0958-1669	https://repository.cshl.edu/id/eprint/40772	"Functional studies in biology require the identification of genes, regulatory elements, and networks, followed by a deep understanding of how they orchestrate to specify cell types, mediate signaling, and respond to internal and external cues over evolutionary timescales. Advances in single-cell analysis have enabled biologists to tackle these questions at the resolution of the individual cell. Here, we highlight recent studies in plants that have embraced single-cell analyses to facilitate functional studies. This review will provide guidance and perspectives for incorporating these advanced approaches in plant research for the coming decades."	79			
40767	7	archive	39	disk0/00/04/07/67	12/7/22 17:34	12/7/22 17:34	12/7/22 17:34	article	show	39	PP2A methylesterase PME-1 suppresses anoikis and is associated with therapy relapse of PTEN-deficient prostate cancers	pub	12/3/22	published	10.1002/1878-0261.13353	https://www.ncbi.nlm.nih.gov/pubmed/36461911	36461911	public	Molecular Oncology		TRUE	1574-7891	https://repository.cshl.edu/id/eprint/40767	"While organ-confined prostate cancer (PCa) is mostly therapeutically manageable, metastatic progression of PCa remains an unmet clinical challenge. Resistance to anoikis, a form of cell death initiated by cell detachment from the surrounding extracellular matrix, is one of the cellular processes critical for PCa progression towards aggressive disease. Therefore, further understanding of anoikis regulation in PCa might provide therapeutic opportunities. Here, we discover that PCa tumors with concomitant inhibition of two tumor suppressor phosphatases, PP2A and PTEN, are particularly aggressive, having less than 50% 5-year secondary-therapy-free patient survival. Functionally, overexpression of PME-1, a methylesterase for the catalytic PP2A-C subunit, inhibits anoikis in PTEN-deficient PCa cells. In vivo, PME-1 inhibition increased apoptosis in in ovo PCa tumor xenografts, and attenuated PCa cell survival in zebrafish circulation. Molecularly, PME-1-deficient PC3 cells display increased trimethylation at lysines 9 and 27 of histone H3 (H3K9me3 and H3K27me3), a phenotype known to correlate with increased apoptosis sensitivity. In summary, our results demonstrate that PME-1 supports anoikis resistance in PTEN-deficient PCa cells. Clinically, these results identify PME-1 as a candidate biomarker for a subset of particularly aggressive PTEN-deficient PCa."				
40765	6	archive	39	disk0/00/04/07/65	12/5/22 17:25	12/5/22 17:25	12/5/22 17:25	article	show	39	Non-symmetric pinning of topological defects in living liquid crystals	pub	12/1/22	published	10.1038/s42005-022-01077-w			public	Communications Physics		TRUE	2399-3650	https://repository.cshl.edu/id/eprint/40765	"Topological defects, such as vortices and disclinations, play a crucial role in spatiotemporal organization of equilibrium and non-equilibrium systems. The defect immobilization or pinning is a formidable challenge in the context of the out-of-equilibrium system, like a living liquid crystal, a suspension of swimming bacteria in lyotropic liquid crystal. Here we control the emerged topological defects in a living liquid crystal by arrays of 3D-printed microscopic obstacles (pillars). Our studies show that while −1/2 defects may be easily immobilized by the pillars, +1/2 defects remain motile. Due to attraction between oppositely charged defects, positive defects remain in the vicinity of pinned negative defects, and the diffusivity of positive defects is significantly reduced. Experimental findings are rationalized by computational modeling of living liquid crystals. Our results provide insight into the engineering of active systems via targeted immobilization of topological defects."	5	1		
40779	7	archive	39	disk0/00/04/07/79	1/4/23 15:38	1/4/23 15:38	1/4/23 15:38	article	show	39	Machine-learning-based data-driven discovery of nonlinear phase-field dynamics	pub	12/1/22	published	10.1103/PhysRevE.106.065303			none	Physical Review E		TRUE	2470-0045	https://repository.cshl.edu/id/eprint/40779	"One of the main questions regarding complex systems at large scales concerns the effective interactions and driving forces that emerge from the detailed microscopic properties. Coarse-grained models aim to describe complex systems in terms of coarse-scale equations with a reduced number of degrees of freedom. Recent developments in machine-learning algorithms have significantly empowered the discovery process of governing equations directly from data. However, it remains difficult to discover partial differential equations (PDEs) with high-order derivatives. In this paper, we present data-driven architectures based on a multilayer perceptron, a convolutional neural network (CNN), and a combination of a CNN and long short-term memory structures for discovering the nonlinear equations of motion for phase-field models with nonconserved and conserved order parameters. The well-known Allen-Cahn, Cahn-Hilliard, and phase-field crystal models were used as test cases. Two conceptually different types of implementations were used: (a) guided by physical intuition (such as the local dependence of the derivatives) and (b) in the absence of any physical assumptions (black-box model). We show that not only can we effectively learn the time derivatives of the field in both scenarios, but we can also use the data-driven PDEs to propagate the field in time and achieve results in good agreement with the original PDEs."	106	6		
40760	7	archive	39	disk0/00/04/07/60	11/22/22 18:00	11/22/22 18:00	11/22/22 18:00	article	show	39	Isolation of mouse mammary carcinoma-derived macrophages and cancer cells for co-culture assays	inpress	12/1/22	published	10.1016/j.xpro.2022.101833			public	STAR Protocols	101833-101833	TRUE	2666-1667	https://repository.cshl.edu/id/eprint/40760		3	4		
40764	14	archive	39	disk0/00/04/07/64	11/29/22 16:53	11/29/22 16:53	11/29/22 16:53	article	show	39	Cortex-wide response mode of VIP-expressing inhibitory neurons by reward and punishment	pub	11/23/22	published	10.7554/eLife.78815	https://www.ncbi.nlm.nih.gov/pubmed/36416886	36416886	public	eLife	e78815	TRUE	2050-084X	https://repository.cshl.edu/id/eprint/40764	"Neocortex is classically divided into distinct areas, each specializing in different function, but all could benefit from reinforcement feedback to inform and update local processing. Yet it remains elusive how global signals like reward and punishment are represented in local cortical computations. Previously, we identified a cortical neuron type, vasoactive intestinal polypeptide (VIP)-expressing interneurons, in auditory cortex that is recruited by behavioral reinforcers and mediates disinhibitory control by inhibiting other inhibitory neurons. As the same disinhibitory cortical circuit is present virtually throughout cortex, we wondered whether VIP neurons are likewise recruited by reinforcers throughout cortex. We monitored VIP neural activity in dozens of cortical regions using three-dimensional random access two-photon microscopy and fiber photometry while mice learned an auditory discrimination task. We found that reward and punishment during initial learning produce rapid, cortex-wide activation of most VIP interneurons. This global recruitment mode showed variations in temporal dynamics in individual neurons and across areas. Neither the weak sensory tuning of VIP interneurons in visual cortex nor their arousal state modulation was fully predictive of reinforcer responses. We suggest that the global response mode of cortical VIP interneurons supports a cell-type-specific circuit mechanism by which organism-level information about reinforcers regulates local circuit processing and plasticity."	11		PMC9683790	
40770	8	archive	39	disk0/00/04/07/70	12/12/22 17:05	12/12/22 17:05	12/12/22 17:05	article	show	39	Clinical applications of 3D normal and breast cancer organoids: A review of concepts and methods	pub	11/19/22	published	10.1177/15353702221131877	https://www.ncbi.nlm.nih.gov/pubmed/36408534	36408534	none	Experimental Biology and Medicine	1.54E+16	TRUE	1535-3702	https://repository.cshl.edu/id/eprint/40770	"While mouse models and two-dimensional (2D) cell culture systems have dominated as research tools for cancer biology, three-dimensional (3D) cultures have gained traction as a new approach that retains features of in vivo biology within an in vitro system. Over time, 3D culture systems have evolved from spheroids and tumorspheres to organoids, and by doing so, they have become more complex and representative of original tissue. Such technological improvements have mostly benefited the study of heterogeneous solid tumors, like those found in breast cancer (BC), by providing an attractive avenue for scalable drug testing and biobank generation. Experimentally, organoids have been used in the BC field to dissect mechanisms related to cellular invasion and metastasis-and through co-culture methods-epithelial interactions with stromal and immune cells. In addition, organoid studies of wild-type mouse models and healthy donor samples have provided insight into the basic developmental cellular and molecular biology of the mammary gland, which may inform one's understanding of the initial stages of cancer development and progression."				
40783	15	archive	39	disk0/00/04/07/83	1/9/23 16:33	1/9/23 16:33	1/9/23 16:33	article	show	39	Phosphorylation of the smooth muscle master splicing regulator RBPMS regulates its splicing activity	pub	11/11/22	published	10.1093/nar/gkac1048	https://www.ncbi.nlm.nih.gov/pubmed/36408906	36408906	public	Nucleic Acids Research	11895-11915	TRUE	0305-1048	https://repository.cshl.edu/id/eprint/40783	"We previously identified RBPMS as a master regulator of alternative splicing in differentiated smooth muscle cells (SMCs). RBPMS is transcriptionally downregulated during SMC dedifferentiation, but we hypothesized that RBPMS protein activity might be acutely downregulated by post-translational modifications. Publicly available phosphoproteomic datasets reveal that Thr113 and Thr118 immediately adjacent to the RRM domain are commonly both phosphorylated. An RBPMS T113/118 phosphomimetic T/E mutant showed decreased splicing regulatory activity both in transfected cells and in a cell-free in vitro assay, while a non-phosphorylatable T/A mutant retained full activity. Loss of splicing activity was associated with a modest reduction in RNA affinity but significantly reduced RNA binding in nuclear extract. A lower degree of oligomerization of the T/E mutant might cause lower avidity of multivalent RNA binding. However, NMR analysis also revealed that the T113/118E peptide acts as an RNA mimic which can loop back and antagonize RNA-binding by the RRM domain. Finally, we identified ERK2 as the most likely kinase responsible for phosphorylation at Thr113 and Thr118. Collectively, our data identify a potential mechanism for rapid modulation of the SMC splicing program in response to external signals during the vascular injury response and atherogenesis."	50	20	PMC9723635	
40755	13	archive	39	disk0/00/04/07/55	11/14/22 17:26	11/14/22 17:26	11/14/22 17:26	article	show	39	Recent Advances at the Interface of Neuroscience and Artificial Neural Networks	pub	11/9/22	published	10.1523/JNEUROSCI.1503-22.2022	https://www.ncbi.nlm.nih.gov/pubmed/36351830	36351830	restricted	The Journal of Neuroscience	8514-8523	TRUE	1529-2401	https://repository.cshl.edu/id/eprint/40755	"Biological neural networks adapt and learn in diverse behavioral contexts. Artificial neural networks (ANNs) have exploited biological properties to solve complex problems. However, despite their effectiveness for specific tasks, ANNs are yet to realize the flexibility and adaptability of biological cognition. This review highlights recent advances in computational and experimental research to advance our understanding of biological and artificial intelligence. In particular, we discuss critical mechanisms from the cellular, systems, and cognitive neuroscience fields that have contributed to refining the architecture and training algorithms of ANNs. Additionally, we discuss how recent work used ANNs to understand complex neuronal correlates of cognition and to process high throughput behavioral data."	42	45		
40759	7	archive	39	disk0/00/04/07/59	12/2/22 15:43	12/2/22 15:43	12/2/22 15:43	article	show	39	MCRS1 modulates the heterogeneity of microtubule minus-end morphologies in mitotic spindles	pub	11/9/22	published	10.1091/mbc.E22-08-0306-T	https://www.ncbi.nlm.nih.gov/pubmed/36350698	36350698	none	Molecular Biology of the Cell	mbcE22080306T	TRUE	1059-1524	https://repository.cshl.edu/id/eprint/40759	"Faithful chromosome segregation requires the assembly of a bipolar spindle, consisting of two antiparallel microtubule (MT) arrays having most of their minus ends focused at the spindle poles and their plus ends overlapping in the spindle midzone. Spindle assembly, chromosome alignment and segregation require highly dynamic MTs. The plus ends of MTs have been extensively investigated; instead, their minus end structure remains poorly characterized. Here, we used large-scale electron tomography to study the morphology of the MT minus ends in 3D-reconstructed metaphase spindles in HeLa cells. In contrast to the homogeneous open morphology of the MT plus ends at the kinetochores, we found that MT minus ends are heterogeneous showing either open or closed morphologies. Silencing the minus-end specific stabilizer, MCRS1 increased the proportion of open MT minus ends. Altogether, these data suggest a correlation between the morphology and the dynamic state of the MT ends. Taking this heterogeneity of the MT minus end morphologies into account, our work indicates an unsynchronized behavior of MTs at the spindle poles, thus laying the ground for further studies on the complexity of MT dynamics regulation. [Media: see text] [Media: see text] [Media: see text] [Media: see text] [Media: see text] [Media: see text] [Media: see text]."				
40758	15	archive	39	disk0/00/04/07/58	11/15/22 20:37	11/15/22 20:37	11/15/22 20:37	article	show	39	A global high-density chromatin interaction network reveals functional long-range and trans-chromosomal relationships	pub	11/9/22	published	10.1186/s13059-022-02790-z	https://www.ncbi.nlm.nih.gov/pubmed/36352464	36352464	public	Genome Biology	238	TRUE	1474-760X	https://repository.cshl.edu/id/eprint/40758	"BACKGROUND: Chromatin contacts are essential for gene-expression regulation; however, obtaining a high-resolution genome-wide chromatin contact map is still prohibitively expensive owing to large genome sizes and the quadratic scale of pairwise data. Chromosome conformation capture (3C)-based methods such as Hi-C have been extensively used to obtain chromatin contacts. However, since the sparsity of these maps increases with an increase in genomic distance between contacts, long-range or trans-chromatin contacts are especially challenging to sample. RESULTS: Here, we create a high-density reference genome-wide chromatin contact map using a meta-analytic approach. We integrate 3600 human, 6700 mouse, and 500 fly Hi-C experiments to create species-specific meta-Hi-C chromatin contact maps with 304 billion, 193 billion, and 19 billion contacts in respective species. We validate that meta-Hi-C contact maps are uniquely powered to capture functional chromatin contacts in both cis and trans. We find that while individual dataset Hi-C networks are largely unable to predict any long-range coexpression (median 0.54 AUC), meta-Hi-C networks perform comparably in both cis and trans (0.65 AUC vs 0.64 AUC). Similarly, for long-range expression quantitative trait loci (eQTL), meta-Hi-C contacts outperform all individual Hi-C experiments, providing an improvement over the conventionally used linear genomic distance-based association. Assessing between species, we find patterns of chromatin contact conservation in both cis and trans and strong associations with coexpression even in species for which Hi-C data is lacking. CONCLUSIONS: We have generated an integrated chromatin interaction network which complements a large number of methodological and analytic approaches focused on improved specificity or interpretation. This high-depth ""super-experiment"" is surprisingly powerful in capturing long-range functional relationships of chromatin interactions, which are now able to predict coexpression, eQTLs, and cross-species relationships. The meta-Hi-C networks are available at https://labshare.cshl.edu/shares/gillislab/resource/HiC/ ."	23	1		
40762	16	archive	39	disk0/00/04/07/62	11/28/22 16:19	11/28/22 16:19	11/28/22 16:19	article	show	39	Platr4 is an early embryonic lncRNA that exerts its function downstream on cardiogenic mesodermal lineage commitment	pub	11/7/22	published	10.1016/j.devcel.2022.10.002	https://www.ncbi.nlm.nih.gov/pubmed/36347239	36347239	none	Developmental Cell	2450-2468.e7	TRUE	1534-5807	https://repository.cshl.edu/id/eprint/40762	"The mammalian genome encodes thousands of long non-coding RNAs (lncRNAs), many of which are developmentally regulated and differentially expressed across tissues, suggesting their potential roles in cellular differentiation. Despite this expression pattern, little is known about how lncRNAs influence lineage commitment at the molecular level. Here, we demonstrate that perturbation of an embryonic stem cell/early embryonic lncRNA, pluripotency-associated transcript 4 (Platr4), directly influences the specification of cardiac-mesoderm-lineage differentiation. We show that Platr4 acts as a molecular scaffold or chaperone interacting with the Hippo-signaling pathway molecules Yap and Tead4 to regulate the expression of a downstream target gene, Ctgf, which is crucial to the cardiac-lineage program. Importantly, Platr4 knockout mice exhibit myocardial atrophy and valve mucinous degeneration, which are both associated with reduced cardiac output and sudden heart failure. Together, our findings provide evidence that Platr4 is required in cardiac-lineage specification and adult heart function in mice."	57	21		
